claim_id,evidence_id,entity_type,entity_id,claim_text,claim_type,quote_or_excerpt,page_no_or_section,confidence,valid_until,status,review_status,notes
claim_cn_002837_invic_28149e07,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“数据中心”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,0755-66823167 电子信箱 ir@envicool.com 2、报告期主要业务或产品简介 英维克是业内领先的精密温控节能解决方案和产品提供商，致力于为数据中心/智算中心、算力设备、电化学储能 系统、通信网络、电力电网、电动汽车充电桩、工业自动化、电源转换等领域提供设备散热解决方案及精密环境控制解 决方案，为地铁、多种,page:1,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_19c46103
claim_cn_002837_invic_e9580358,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“智算中心”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,66823167 电子信箱 ir@envicool.com 2、报告期主要业务或产品简介 英维克是业内领先的精密温控节能解决方案和产品提供商，致力于为数据中心/智算中心、算力设备、电化学储能 系统、通信网络、电力电网、电动汽车充电桩、工业自动化、电源转换等领域提供设备散热解决方案及精密环境控制解 决方案，为地铁、多种电动商用车,page:1,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_146c8521
claim_cn_002837_invic_013e4cab,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“温控”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,真 0755-66823197 电话 0755-66823167 电子信箱 ir@envicool.com 2、报告期主要业务或产品简介 英维克是业内领先的精密温控节能解决方案和产品提供商，致力于为数据中心/智算中心、算力设备、电化学储能 系统、通信网络、电力电网、电动汽车充电桩、工业自动化、电源转换等领域提供设备散热解决,page:1,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_57c5e7b4
claim_cn_002837_invic_a430b6e8,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“机房”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,密环境控制解 决方案，为地铁、多种电动商用车等领域提供相关车用的空调、冷机等产品及服务，并为人居健康空气环境推出系列的 空气环境机等产品。具体情况如下： （一）机房温控节能产品,page:1,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_c2b58312
claim_cn_002837_invic_80ee216e,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“算力”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,167 电子信箱 ir@envicool.com 2、报告期主要业务或产品简介 英维克是业内领先的精密温控节能解决方案和产品提供商，致力于为数据中心/智算中心、算力设备、电化学储能 系统、通信网络、电力电网、电动汽车充电桩、工业自动化、电源转换等领域提供设备散热解决方案及精密环境控制解 决方案，为地铁、多种电动商用车等领域,page:1,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_42b50c4a
claim_cn_002837_invic_33cd54f4,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“数据中心”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,深圳市英维克科技股份有限公司 2025 年年度报告摘要 2 公司的机房温控节能产品主要针对数据中心/智算中心、算力设备、通信机房、高精度实验室等领域的房间级专用 温控节能解决方案，用于对设备机房、制造工艺及测试装备、实验室空间等场景的设备散热以及精密温湿度和,page:2,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_d6a06bf3
claim_cn_002837_invic_cb36fb00,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“智算中心”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,深圳市英维克科技股份有限公司 2025 年年度报告摘要 2 公司的机房温控节能产品主要针对数据中心/智算中心、算力设备、通信机房、高精度实验室等领域的房间级专用 温控节能解决方案，用于对设备机房、制造工艺及测试装备、实验室空间等场景的设备散热以及精密温湿度和洁净度的,page:2,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_27d97867
claim_cn_002837_invic_0449cc90,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“液冷”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,XMint 高效蒸发复合多联空调系统、XSource 蒸发冷集成 冷站方案、XFreeCooling 气动热管、XRow 4.0 列间空调、XSpace 微模块液冷、XStorm3.0 风墙、XFlex5.0 无水运行式 间接蒸发冷等产品与解决方案，在 2025 年公司发布了 XStorm薄型风墙等新产品与解决方案。 在算,page:2,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_a0e179b5
claim_cn_002837_invic_7f197d50,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“温控”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,深圳市英维克科技股份有限公司 2025 年年度报告摘要 2 公司的机房温控节能产品主要针对数据中心/智算中心、算力设备、通信机房、高精度实验室等领域的房间级专用 温控节能解决方案，用于对设备机房、制造工艺及测试装备、实验室空间等场景的,page:2,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_d1a08f65
claim_cn_002837_invic_9c6c3e3d,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“机房”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,深圳市英维克科技股份有限公司 2025 年年度报告摘要 2 公司的机房温控节能产品主要针对数据中心/智算中心、算力设备、通信机房、高精度实验室等领域的房间级专用 温控节能解决方案，用于对设备机房、制造工艺及测试装备、实验室空间等场,page:2,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_ba93a454
claim_cn_002837_invic_5e6afcf0,ev_annual_report_002837_20260421_ce7f64,company,cn_002837_invic,年报披露公司业务或产品与“算力”相关，该表述可作为业务/产品暴露候选，收入占比仍需单独披露。,fact,深圳市英维克科技股份有限公司 2025 年年度报告摘要 2 公司的机房温控节能产品主要针对数据中心/智算中心、算力设备、通信机房、高精度实验室等领域的房间级专用 温控节能解决方案，用于对设备机房、制造工艺及测试装备、实验室空间等场景的设备散热以及精密温湿度和洁净度的 控制调,page:2,medium,next_refresh,active,reviewed_r3_candidate,Generated by evidence-ingest candidate extractor; not a final conclusion.; promoted_from=claimcand_unknown_73f6eba8
