issue_id,severity,gate_id,stage,target_artifact,section,description,fix_owner_skill,blocking_decision,next_action,status
r5b17r_evidence_pack_missing,critical,R5-G1,T1_evidence_plan,reports/p1_6/r5_bundle17r/chain_a/materialization/R5_bundle16r_materialization_suite.json,evidence_completeness,"四个案例均未形成 Bundle 15R evidence pack；当前共有 126 个 materialization blockers，包括 12 个 SOURCE_UNQUALIFIED、20 个 SOURCE_CLASS_MISSING、46 个 DRIVER_MAPPING_MISSING 和 28 个 QUESTION_MAPPING_MISSING。",evidence-ingest,blocked,"由真实 reviewer 对物理官方来源作 accepted 或 rejected 决定，并补齐 source class、locator-bound driver records 与 exact question ID 映射；不得自动提升 reviewed 状态。",open
r5b17r_upstream_lock_physical_hash_mismatch,high,R5-G11,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/activation_run_a/R5_bundle17r_backflow_queue.csv,generation_lock,"Bundle 16R、15R、14R generation lock 中的 suite hash 与对应物理 suite 文件 SHA-256 不一致，无法满足 Bundle 17R 的 physical exact-hash binding。",research-orchestrator,needs_fix,"在不改写历史结果的前提下，由上游 runtime 生成新的物理字节锁代际，再重新运行 16R→15R→14R→17R。",open
r5b17r_case_generation_contract_incompatible,high,R5-G11,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/activation_run_a/R5_bundle17r_backflow_queue.csv,case_generation_lock,"四个既有 per-case generation_lock 缺少 Bundle 17R 所需的 generation_id；旧锁只能绑定旧角色名，不能冒充新的 Reader generation contract。",quality-review,needs_fix,"在上游资格门通过后，按 Bundle 17R 合同重新生成每案例 Reader lock，并保持旧锁不变。",open
r5b17r_quality_contract_incompatible,high,R5-G11,T9_quality_review,reports/p1_6/r5_bundle17r/activation_run_a/R5_bundle17r_backflow_queue.csv,semantic_quality,"四个既有 quality_readout 使用旧 case_id，且不含 candidate_ready_for_exact_hash_review 字段；因此不能作为 17R exact-hash review candidate scorecard。",quality-review,needs_fix,"待 evidence pack、qualification 与 regression 门通过后，生成注册 Bundle 14R case_id 对齐的 semantic quality scorecard。",open
r5b17r_human_review_not_ready,medium,R5-G11,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/activation_run_a/human_review_handoffs,exact_hash_human_review,"四个 handoff 均为 not_ready，reviewer、reviewed_at 与 decision_notes 保持为空；Bundle 18R 未触发。",quality-review,blocked,"先关闭上游 blockers；只有新的精确 Reader SHA、quality、traceability 与 generation lock 全部通过后，才进入真实人工审核。",open
r5b17r_financial_model_not_triggered,medium,R5-G2,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/chain_a/qualification/R5_bundle15r_qualification_suite.json,financial_model,"R5-G1 未通过，旧 financial/model 产物不得被提升为当前资格代际。",stock-deep-dive,blocked,"先完成 evidence pack，再由当前代际模型重建并复核。",accepted_todo
r5b17r_business_breakdown_not_triggered,medium,R5-G3,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/chain_a/qualification/R5_bundle15r_qualification_suite.json,business_breakdown,"R5-G1 未通过，业务拆分与经营驱动不能进入当前资格判断。",stock-deep-dive,blocked,"在已接受证据和 driver mapping 完成后重建业务拆分。",accepted_todo
r5b17r_industry_context_not_triggered,low,R5-G4,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/chain_a/materialization/R5_bundle16r_source_request_queue.csv,industry_context,"行业监管或协会来源、同业官方披露等 source class 尚未齐全。",segment-research,blocked,"补齐并审核相同口径、相同期间的行业与同业官方来源。",accepted_todo
r5b17r_forecast_not_triggered,medium,R5-G5,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/chain_a/qualification/R5_bundle15r_qualification_suite.json,forecast,"四案例 forecast_bridge_complete 均为 false，不能用旧 forecast artifact 补偿。",company-valuation,blocked,"上游 evidence/driver 通过后生成新的 hash-bound forecast bridge。",accepted_todo
r5b17r_valuation_not_triggered,medium,R5-G6,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/chain_a/qualification/R5_bundle15r_qualification_suite.json,valuation,"四案例 valuation_eligible 均为 false，当前不具备估值方法资格。",company-valuation,blocked,"关闭 evidence、overlap 和 forecast 阻断后重新运行估值方法资格门。",accepted_todo
r5b17r_market_not_triggered,low,R5-G7,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/activation_run_a/R5_bundle17r_status_proposal.yaml,market_technical,"Bundle 17R 不开放 sample quality，市场或技术产物不参与补偿。",stock-deep-dive,blocked,"仅在主研究链通过后附加带 as_of_date 的市场上下文。",accepted_todo
r5b17r_event_not_triggered,low,R5-G8,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/activation_run_a/R5_bundle17r_status_proposal.yaml,sentiment_event,"Bundle 17R 不使用情绪或事件分数补偿证据缺口。",stock-deep-dive,blocked,"后续只使用有日期和来源的事件材料，并保持其非事实源边界。",accepted_todo
r5b17r_narrative_not_triggered,low,R5-G9,R5_bundle17r_targeted_backflow,reports/p1_6/r5_bundle17r/activation_run_a/R5_bundle17r_status_proposal.yaml,narrative,"没有合格的 exact-hash Reader candidate，叙事一致性门不触发。",memo-writer,blocked,"待 4/4 candidate ready 后再审 Reader 叙事，当前不得补写掩盖缺口。",accepted_todo
r5b17r_no_advice_pass,low,R5-G10,T9_quality_review,reports/p1_6/r5_bundle17r/activation_run_a/R5_bundle17r_close_readout.md,no_advice,"No-advice 门已执行，未发现直接交易指令、仓位建议、目标价或保证收益。",quality-review,accepted,"保持后续 Bundle 18R 审核与任何报告输出继续执行 no-advice 检查。",resolved
