issue_id,severity,gate_id,local_check_id,stage,target_artifact,description,fix_owner_skill,status,created_at,resolved_at,notes
ir_p1_qr_001,high,,QR-IR-10,Gate 1,AGENTS.md,investment-review was added but not enabled by the highest-priority repository routing contract,research-orchestrator,resolved,2026-07-15,2026-07-15,AGENTS.md now enables an isolated repo-local investment-review route without changing canonical workflow types
ir_p1_qr_002,high,,QR-IR-12,Gate 1,src/investment_review/ingest.py,Machine-generated mapping could be used for formal import without a completed human review lock,investment-review,resolved,2026-07-15,2026-07-15,Generated mapping is dry-run only and formal import now rejects it
ir_p1_qr_003,high,,QR-IR-12,Gate 1,config/investment_review.portfolio.reviewed.json,Source schema and reviewed mapping provenance were not cryptographically bound to the approved inputs,investment-review,resolved,2026-07-15,2026-07-15,Reviewed mapping binds reviewer and time plus schema manifest and generated mapping paths and SHA-256 values
ir_p1_qr_004,high,,QR-IR-12,Gate 1,config/investment_review.portfolio.reviewed.json,Reviewed mapping content could change after approval without invalidating formal import,investment-review,resolved,2026-07-15,2026-07-15,mapping_content_sha256 covers the complete reviewed document except its self-referential field and is rechecked at import
ir_p1_qr_005,high,,QR-IR-13,Gate 1,src/investment_review/store.py,Account market cash and source config changes were not all included in drift detection,investment-review,resolved,2026-07-15,2026-07-15,All persisted canonical fields and complete config fingerprints are compared and source_config_versions retains three observed versions
ir_p1_qr_006,high,,QR-IR-3,Gate 1,src/investment_review/models.py,Dividend and cash fee amounts could be lost because gross amount alone represented monetary value,investment-review,resolved,2026-07-15,2026-07-15,cash_amount is an independent canonical field and source sums reconcile for both non-trade event types
ir_p1_qr_007,high,,QR-IR-15,Gate 1,src/investment_review/cli.py,Decision notes could silently backdate known_at when the user did not provide a knowledge timestamp,investment-review,resolved,2026-07-15,2026-07-15,note-add requires explicit known_at and model validation rejects invalid timestamps and non-finite values
ir_p1_qr_008,high,,QR-IR-7,Gate 1,src/investment_review/store.py,A wrong review database path could create review schema or WAL files inside a non-review SQLite database,investment-review,resolved,2026-07-15,2026-07-15,schema v2 application_id lock rejects non-review nonempty databases before initialization writes
ir_p1_qr_009,high,,QR-IR-6,Gate 1,src/investment_review/store.py,Event-to-run lineage relied on source and timestamp-window inference instead of an explicit durable relation,investment-review,resolved,2026-07-15,2026-07-15,ingest_run_events contains 3844 explicit outcomes and every event has a valid first inserted run
ir_p1_qr_010,high,,QR-IR-3,Gate 1,config/investment_review.portfolio.reviewed.json,Content-derived dedupe_key was used as source identity and could change when the same source record content changed,investment-review,resolved,2026-07-15,2026-07-15,record_id is account_id::external_id while dedupe_key remains only in raw content drift evidence
ir_p1_qr_011,high,,QR-IR-5,Gate 1,src/investment_review/store.py,Removal of a source record between snapshots was not detected from prior run membership,investment-review,resolved,2026-07-15,2026-07-15,Importer compares current membership with the previous completed run and fails on missing source records
ir_p1_qr_012,high,,QR-IR-14,Gate 1,src/investment_review/ingest.py,A first-five-row preview could hide dividend and cash fee normalization errors,investment-review,resolved,2026-07-15,2026-07-15,Dry-run preview includes a representative row for each event type and displays cash_amount
ir_p1_qr_013,high,,QR-IR-16,Gate 1,src/investment_review/ingest.py,Formal SQLite import did not bind the actual source file table and live table schema to the reviewed contract,investment-review,resolved,2026-07-15,2026-07-15,Source paths must resolve to the same file and table_schema_sha256 must match the reviewed table
ir_p1_qr_014,high,,QR-IR-17,Gate 1,src/investment_review/ingest.py,CSV source identity depended on a location that changes when the same export is copied or renamed,investment-review,resolved,2026-07-15,2026-07-15,CSV import requires stable source.identity_key and uses the path only as the current read location
ir_p1_qr_015,high,,QR-IR-18,Gate 1,src/investment_review/store.py,Automatic migration of legacy v1 could not reconstruct complete event-run provenance,investment-review,resolved,2026-07-15,2026-07-15,Legacy and unmarked databases are not mutated and users must create a new v2 sidecar and reimport
ir_p1_qr_016,high,,QR-IR-17,Gate 1,src/investment_review/ingest.py,A mapping could omit record_id and lose stable source record identity,investment-review,resolved,2026-07-15,2026-07-15,record_id is required for every mapping alongside occurred_at symbol side quantity and price
ir_p1_qr_017,medium,,QR-IR-6,Gate 1,src/investment_review/models.py,payload_sha256 hashes the complete source_row so technical-only ledger rebuild changes may trigger conservative false conflicts,investment-review,accepted_todo,2026-07-15,,Require human review for the conflict and never auto-accept source drift
ir_p1_qr_018,medium,,QR-IR-5,Gate 1,src/investment_review/store.py,All sources currently use full snapshot removal semantics which can misclassify absent rows in monthly incremental CSV exports,investment-review,accepted_todo,2026-07-15,,Add an explicit snapshot_mode full or append contract before importing incremental exports
ir_p1_qr_019,medium,,QR-IR-4,Gate 1,config/investment_review.portfolio.reviewed.json,Historical investor knowledge timestamps are unavailable and all 961 events use the explicit occurred_at fallback,investment-review,accepted_todo,2026-07-15,,Preserve known_at_fallback=true and add known_at_quality and precision before stronger temporal claims
ir_p1_qr_020,medium,,QR-IR-8,Gate 1,data/db/investment_review.sqlite3,No decision notes are present and historical motives cannot be reconstructed from fills alone,investment-review,accepted_todo,2026-07-15,,Use note-add only for user-confirmed context and do not infer motives from trades
ir_p1_qr_021,low,,QR-IR-11,Gate 2,src/investment_review/store.py,Gate 2 is not started and position_snapshot_items has a nullable market field inside its planned composite primary key,investment-review,accepted_todo,2026-07-15,,Resolve nullable market key semantics before enabling snapshots in a separately approved Gate 2 plan
