"metric_name","metric_category","period","value","unit","source_evidence_id","review_status","notes"
"total_revenue","income","20251231","3520000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"revenue","income","20251231","3520000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"operate_profit","income","20251231","515000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"total_profit","income","20251231","520000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"n_income","income","20251231","455000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"n_income_attr_p","income","20251231","450000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"basic_eps","income","20251231","0.62","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"total_revenue","income","20241231","2980000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"revenue","income","20241231","2980000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"operate_profit","income","20241231","390000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"total_profit","income","20241231","395000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"n_income","income","20241231","330000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"n_income_attr_p","income","20241231","328000000","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
"basic_eps","income","20241231","0.46","CNY","ev_structured_financial_data_002837_20260701_1b506c","draft","Metric-only candidate generated from structured snapshot; api_params_hash=1b506c247e3aa357af31eafab227d5ae2ede305cb7ccfce031b46b914918b5be; not business exposure evidence."
