issue_id,severity,gate_id,stage,target_artifact,section,description,fix_owner_skill,blocking_decision,next_action,status
R5B8B-G1-001,low,R5-G1,T9_bundle8b_close_quality_review,R5_bundle8b_evidence_manifest_delta.csv,evidence_completeness,46条新增证据均有唯一ID且归档和解析路径存在,quality-review,accepted,刷新时重新运行Bundle8B close validator,resolved
R5B8B-G2-001,low,R5-G2,T9_bundle8b_close_quality_review,financial_metric_pack.csv,financial_model,Bundle8B补齐财务输入但完整预测财务模型属于Bundle9,stock-deep-dive,accepted,Bundle9建立费用税率少数股东损益和现金流桥,waived_with_reason
R5B8B-G3-001,medium,R5-G3,T9_bundle8b_close_quality_review,liquid_cooling_disclosure_gap_register.yaml,business_breakdown,2024年液冷相关收入仅有约3亿元管理层近似口径且2025收入毛利客户订单及项目回款仍未披露,evidence-ingest,accepted_with_todos,Bundle9仅将3亿元作为B类锚点并对其余字段保留情景假设或MISSING,accepted_todo
R5B8B-G4-001,low,R5-G4,T9_bundle8b_close_quality_review,industry_evidence_pack.yaml,industry_context,既有独立行业需求政策技术路线与反证来源继续有效且本轮未用市场线索替代行业事实,quality-review,accepted,行业来源刷新时重跑validator,resolved
R5B8B-G5-001,low,R5-G5,T9_bundle8b_close_quality_review,forecast_model.yaml,forecast_model,预测模型尚未在Bundle8B生成且未被证据关闭门冒充完成,stock-deep-dive,accepted,Bundle8关闭后按M5顺序建立自下而上模型,waived_with_reason
R5B8B-G6-001,low,R5-G6,T9_bundle8b_close_quality_review,valuation_model.yaml,valuation,已取得主体和四家同业市场快照但情景估值与反向估值属于Bundle9,company-valuation,accepted,Bundle9使用reviewed模型输入并保留同业业务口径限制,waived_with_reason
R5B8B-G7-001,low,R5-G7,T9_bundle8b_close_quality_review,R5_bundle8b_technical_snapshot.yaml,market_technical,250日技术序列和当日估值快照具备日期来源和单位且未操作化为交易信号,quality-review,accepted,Reader生成后复核市场状态措辞,resolved
R5B8B-G8-001,medium,R5-G8,T9_bundle8b_close_quality_review,market_event_pack.yaml,sentiment_event,2026H1计划披露日尚未由发行人公告确认且最新分析师样本仅两家不能称为稳健一致预期,evidence-ingest,accepted_with_todos,公告发布后核对日期并在使用前复核EPS股本口径,accepted_todo
R5B8B-G9-001,low,R5-G9,T9_bundle8b_close_quality_review,R5_bundle8b_management_comment_review.yaml,narrative_coherence,事实管理层评论分析师估计和缺失项已分离且关键机制带反证与观察点,quality-review,accepted,Bundle10写作时重新检查跨章节一致性,resolved
R5B8B-G10-001,low,R5-G10,T9_bundle8b_close_quality_review,bundle8_close_quality_report.md,no_advice,Bundle8B产物未包含直接交易指令目标价仓位或保证收益,quality-review,accepted,后续模型和Reader每次生成后重跑no-advice检查,resolved
R5B8B-G11-001,low,R5-G11,T9_bundle8b_close_quality_review,R5_stock_research_report_reader_v2_quality_scorecard.yaml,sample_benchmark,当前Reader仍为59分rejected且Bundle8关闭不宣称样例质量通过,quality-review,accepted,Bundle10完成动态Writer和跨样本回归后再审查,waived_with_reason
R5B8B-QR-DL-001,low,QR-DL-6,T9_bundle8b_close_quality_review,peer_operating_evidence_pack.yaml,metric_boundary,结构化市场和财务快照均保持metric-only且未用于证明客户订单或液冷分项事实,quality-review,accepted,任何registry promotion前重做官方对账,resolved
R5B8B-QR-SCHEMA-001,medium,QR-SCHEMA,T9_bundle8b_close_quality_review,schema_drift_issue_list.csv,field_mapping,Baostock财务字段code pubDate statDate尚未完成reviewed映射因此只能作为draft fallback,evidence-ingest,accepted_with_todos,新增明确字段映射和官方对账后才能promotion,accepted_todo
R5B8B-QR-PEER-001,medium,QR-VAL-3,T9_bundle8b_close_quality_review,peer_operating_evidence_pack.yaml,peer_comparability,五家公司同期间同供应商指标可比但业务组合和液冷收入纯度不可比,company-valuation,accepted_with_todos,Bundle9逐家公司对账并禁止形成液冷份额排名,accepted_todo
R5B8B-QR-PROXY-001,low,QR-DL-4,T9_bundle8b_close_quality_review,source_health_ledger.yaml,source_health,东方财富reportapi可经代理抓取但push2经代理失败且仅直连探测成功,evidence-ingest,accepted_with_todos,实现push2 fixture和live smoke前保持degraded且不写入报告,accepted_todo
R5B8B-QR-IR004-001,low,QR-DL-5,T9_bundle8b_close_quality_review,live_acquisition_run_log.yaml,official_increment,未确认2025-004巨潮直链且未用第三方转载冒充官方原件,evidence-ingest,accepted_with_todos,后续从巨潮或深交所确认原件后再归档,accepted_todo
R5B8B-QR-CI-001,low,QR-CI,T9_bundle8b_close_quality_review,bundle8_close_quality_report.md,ci_verification,本地全仓库测试通过但未提交未推送所以没有对应远端CI结果,research-orchestrator,accepted_with_todos,仅在用户明确要求发布后提交推送并核验远端CI,accepted_todo
