metric_name,period,current_status,review_decision,root_cause,action,promotion_allowed,owner_skill,official_evidence_id,official_locator,notes
total_revenue,20251231,mismatch,reviewed_no_structured_promotion,fixture_value_or_metric_definition_mismatch,keep_structured_value_as_cross_check_and_use_official_locator_for_review_queue,false,quality-review,ev_annual_report_002837_20260421_ce7f64,page:4; table:主要会计数据和财务指标,structured_evidence_id=ev_structured_financial_data_002837_20260701_1b506c; no business exposure claim created.
n_income_attr_p,20251231,mismatch,reviewed_no_structured_promotion,fixture_value_or_metric_definition_mismatch,keep_structured_value_as_cross_check_and_use_official_locator_for_review_queue,false,quality-review,ev_annual_report_002837_20260421_ce7f64,page:4; table:主要会计数据和财务指标,structured_evidence_id=ev_structured_financial_data_002837_20260701_1b506c; no business exposure claim created.
gross_margin,20251231,official_missing,explicit_official_missing,official_field_not_parsed_or_not_disclosed_in_current_summary,keep_official_missing_and_add_extraction_or_acquisition_todo,false,quality-review,official_missing,official_missing,structured_evidence_id=structured_missing; no business exposure claim created.
net_margin,20251231,official_missing,explicit_official_missing,official_field_not_parsed_or_not_disclosed_in_current_summary,keep_official_missing_and_add_extraction_or_acquisition_todo,false,quality-review,official_missing,official_missing,structured_evidence_id=structured_missing; no business exposure claim created.
basic_eps,20251231,mismatch,reviewed_no_structured_promotion,fixture_value_or_metric_definition_mismatch,keep_structured_value_as_cross_check_and_use_official_locator_for_review_queue,false,quality-review,ev_annual_report_002837_20260421_ce7f64,page:4; table:主要会计数据和财务指标,structured_evidence_id=ev_structured_financial_data_002837_20260701_1b506c; no business exposure claim created.
operating_cash_flow,20251231,structured_missing,official_available_structured_missing,structured_provider_field_missing_or_unmapped,do_not_block_official_locator_review_but_do_not_promote_structured_metric,false,quality-review,ev_annual_report_002837_20260421_ce7f64,page:4; table:主要会计数据和财务指标,structured_evidence_id=structured_missing; no business exposure claim created.
total_assets,20251231,structured_missing,official_available_structured_missing,structured_provider_field_missing_or_unmapped,do_not_block_official_locator_review_but_do_not_promote_structured_metric,false,quality-review,ev_annual_report_002837_20260421_ce7f64,page:3; table:主要会计数据和财务指标,structured_evidence_id=structured_missing; no business exposure claim created.
total_liabilities,20251231,official_missing,explicit_official_missing,official_field_not_parsed_or_not_disclosed_in_current_summary,keep_official_missing_and_add_extraction_or_acquisition_todo,false,quality-review,official_missing,official_missing,structured_evidence_id=structured_missing; no business exposure claim created.
roe,20251231,structured_missing,official_available_structured_missing,structured_provider_field_missing_or_unmapped,do_not_block_official_locator_review_but_do_not_promote_structured_metric,false,quality-review,ev_annual_report_002837_20260421_ce7f64,page:4; table:主要会计数据和财务指标,structured_evidence_id=structured_missing; no business exposure claim created.
debt_to_asset,20251231,official_missing,explicit_official_missing,official_field_not_parsed_or_not_disclosed_in_current_summary,keep_official_missing_and_add_extraction_or_acquisition_todo,false,quality-review,official_missing,official_missing,structured_evidence_id=structured_missing; no business exposure claim created.
