issue_id,severity,gate_id,stage,target_artifact,section,description,fix_owner_skill,blocking_decision,next_action,status
R5B11R-EVIDENCE-001,medium,R5-G1,R5_bundle11r_8_automated_close,R5_bundle11r_operating_evidence_gap_requests.yaml,evidence,液冷项目数或交付容量仍缺少发行人可复算口径。,evidence-ingest,accepted_with_todos,取得正式披露后替换显式缺口并重跑经营驱动。,accepted_todo
R5B11R-FRESHNESS-001,low,R5-G2,R5_bundle11r_8_automated_close,R5_bundle11r_operating_metric_registry.csv,freshness,当前经营锚截至2025年年报，后续正式披露尚未进入本代际。,refresh-research,accepted_with_todos,每次定期报告或重大正式披露后刷新销量与宽产品线口径。,accepted_todo
R5B11R-TRACE-001,medium,R5-G3,R5_bundle11r_8_automated_close,R5_bundle11r_reader_input_pack.yaml,traceability,液冷与机房及机柜宽口径收入之间的重叠消除规则仍未披露。,evidence-ingest,accepted_with_todos,取得同口径分项与消除关系后更新claim并检查重复加总。,accepted_todo
R5B11R-CLAIMTYPE-001,low,R5-G4,R5_bundle11r_8_automated_close,R5_bundle11r_reader_payload.yaml,claim_types,事实、估计、分析观点与未知项已分离，未发现类型越界。,quality-review,accepted_with_todos,保持当前类型边界并在新证据进入时复核。,resolved
R5B11R-METRIC-001,medium,R5-G5,R5_bundle11r_8_automated_close,R5_bundle11r_research_question_matrix.yaml,metrics,分部单位价值、产品组合、单位成本与验收周期仍缺少可复算指标。,evidence-ingest,accepted_with_todos,获得发行人或经审阅调研口径后登记指标并替换有边界估计。,accepted_todo
R5B11R-EXPOSURE-001,medium,R5-G6,R5_bundle11r_8_automated_close,R5_bundle11r_segment_driver_plan.yaml,exposure,液冷独立收入、毛利与营运资金暴露仍不能从宽产品线中可靠拆出。,segment-company-mapping,accepted_with_todos,独立经济性出现后更新多对多暴露记录并保留消除关系。,accepted_todo
R5B11R-REPORT-001,low,R5-G7,R5_bundle11r_8_automated_close,R5_bundle11r_reader.md,report,Reader结构、引用解析和非补偿章节检查均通过。,quality-review,accepted_with_todos,新证据或模型变动后重新生成并复核。,resolved
R5B11R-COUNTER-001,low,R5-G8,R5_bundle11r_8_automated_close,R5_bundle11r_reader_payload.yaml,counterevidence,利润率、现金转化、替代路线与同业口径限制均在Reader中可见。,quality-review,accepted_with_todos,下一次刷新继续保留反证与可证伪条件。,resolved
R5B11R-UNCERTAINTY-001,medium,R5-G9,R5_bundle11r_8_automated_close,R5_bundle11r_operating_driver_pack.yaml,uncertainty,等价销量与混合单价为低置信度估计，不代表分部出货或项目量。,stock-deep-dive,accepted_with_todos,发行人披露分部量价后替换估计并重新勾稽。,accepted_todo
R5B11R-NOADVICE-001,low,R5-G10,R5_bundle11r_8_automated_close,R5_bundle11r_reader.md,no_advice,Reader未发现行动性投资指令或确定性回报表达。,quality-review,accepted_with_todos,后续版本继续执行同一文本门禁。,resolved
R5B11R-REFRESH-001,medium,R5-G11,R5_bundle11r_8_automated_close,R5_bundle11r_operating_to_9r_reconciliation.yaml,refresh,经营桥绑定当前9R模型，模型或正式披露变化后必须整体刷新。,refresh-research,accepted_with_todos,任何模型代际或正式披露变化后重跑输入、runtime、Reader和精确哈希交接。,accepted_todo
R5B11R-HUMAN-001,medium,QR-HUMAN-REVIEW,R5_bundle11r_8_automated_close,R5_bundle11r_human_review_handoff.yaml,human_review,新Reader已完成绑定精确哈希的真实人工复核。,quality-review,accepted_with_todos,由复核者Q确认8项清单通过；独立submission和validation已落盘。,resolved
R5B11R-DCF-001,medium,QR-VALUATION-DCF,R5_bundle11r_8_automated_close,R5_bundle11r_reader_input_pack.yaml,valuation,净债务、折现率与终值输入仍不完整，现金流折现方法保持停用。,company-valuation,accepted_with_todos,补齐全部可追溯输入后重新执行方法资格检查。,accepted_todo
R5B11R-SOTP-001,medium,QR-VALUATION-SOTP,R5_bundle11r_8_automated_close,R5_bundle11r_reader_input_pack.yaml,valuation,液冷独立经济性、未分配成本和消除关系缺失，分部加总方法保持停用。,company-valuation,accepted_with_todos,取得同口径分部经济性与消除关系后重新执行方法资格检查。,accepted_todo
