artifact_id,artifact_type,path,created_by_skill,stage,required,exists,status,notes
art_001,workflow_state,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/workflow_state.yaml,research-orchestrator,T10,true,true,current,canonical V1 state; sha256=23331ce5c47d3a5185e7a098de9af94a5a49f0e461289a9dcdc686066b1972a6
art_002,run_log,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/run_log.md,research-orchestrator,T10,true,true,current,exact offline replay command and stage log; sha256=f31b714c7584493bf8e07f0763c75f0b746eb36195c9b77025444fb26388e770
art_003,manifest,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/artifact_manifest.csv,research-orchestrator,T10,true,true,current,current run artifact index; self-manifest; recursive self-hash intentionally omitted
art_004,open_todos,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/open_todos.csv,research-orchestrator,T10,true,true,current,four source-preserved high research gaps; sha256=a049c1211cfa669f8dd857c2207768e5cda1f3c5ff7b8a5e3dec4ef3b5ac7706
art_005,quality_gate_report,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/quality_gate_report.md,quality-review,T9,true,true,current,canonical G0-G10 quality snapshot; sha256=287e8018f9ad14331dfdddf68f1c2e5e75472ca57baafa1b9861dc6b23e18b08
art_006,readout,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/workflow_readout.md,research-orchestrator,T10,true,true,current,canonical replay close readout; sha256=3a1b7d8df42138041a9d36a4972e2f8811c33bcdc4677ae4d43083709297c4d8
art_007,input_provenance,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/inputs/input_provenance.csv,evidence-ingest,T1,true,true,current,hash-bound read-only inputs; sha256=eec9e4ede0483390ccb1419ac4ef9a84c1a772a9cb6edc8ceb3fc30e987757db
art_008,claim_snapshot,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/inputs/claim_snapshot.csv,evidence-ingest,T2,false,true,current,no new claim promotion in replay; sha256=971ee42de92fcd0e68bf9d5232f40792aa327284c369ae6a79d3413fae4a3015
art_009,metric_candidates,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/inputs/metric_candidates.csv,evidence-ingest,T2,true,true,current,draft metric-only structured candidates; sha256=146d32f45474527ad9abd2d3d473ca9e115f000458f1b825a26ccd3928f91cdf
art_010,stock_research_pack,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/research/stock_research_pack.yaml,stock-deep-dive,T7,true,true,needs_fix,run-scoped research projection with explicit gaps; sha256=0f803e31f2d935d7741da8eb11311a0666684e35b3381cdf60c5f47ac819e562
art_011,segment_exposure,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/research/segment_exposure.yaml,segment-company-mapping,T6,true,true,needs_fix,product-line clue only; percentages missing; sha256=cf4067f63af8f7ab492f0693bda40b54e476f4515a9023ab45c93c67d89a4831
art_012,report,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/research/stock_report_draft.md,stock-deep-dive,T7,true,true,needs_fix,gap-visible replay report; sha256=019530a51b0f0a03f0f461ff6dabe35a5b17ae41d06f50db1c9757f612d49cf1
art_013,backflow_decision,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/research/backflow_decision.yaml,segment-company-mapping,T8,true,true,current,isolated backflow routing; no global update; sha256=f60e629eef8377c116d470455f378f5d1ab0defd11f263931570ad4ebd9f6da4
art_014,artifact_hashes,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/validation/artifact_hashes.csv,research-orchestrator,T10,true,true,current,non-recursive output hash index; sha256=e23f8e66846dcbc9606b1044272860894c912db8a900b8c124cdfaab19fdfef3
art_015,replay_receipt,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/validation/replay_receipt.yaml,research-orchestrator,T10,true,true,current,offline source and semantic receipt; sha256=a395c2e0a9f2c55342221249a47f4ae2291844dfa5cd59a417284ad01d59c925
art_016,idempotence_report,reports/workflow_runs/wf_20260723_stock_first_002837_v1_replay/validation/idempotence_report.yaml,research-orchestrator,T10,true,true,current,two-pass byte comparison; sha256=7c906ff170addcc39a0de1d7574f6eb637026469f5ad0f597f6e30d6bfd88271
