case_id,issuer_ticker,request_type,request_id,owner_skill,target_stage,request
golden_copper_foil_product_generation,301217.SZ,source_class,industry_regulator_or_association,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for industry_regulator_or_association"
golden_copper_foil_product_generation,301217.SZ,source_class,issuer_exchange_filings,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for issuer_exchange_filings"
golden_copper_foil_product_generation,301217.SZ,source_class,issuer_investor_relations_records,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for issuer_investor_relations_records"
golden_copper_foil_product_generation,301217.SZ,source_class,market_data_primary_or_licensed,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for market_data_primary_or_licensed"
golden_copper_foil_product_generation,301217.SZ,source_class,peer_official_disclosures,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for peer_official_disclosures"
golden_crdmo_backlog_conversion,603259.SH,source_class,industry_regulator_or_association,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for industry_regulator_or_association"
golden_crdmo_backlog_conversion,603259.SH,source_class,issuer_exchange_filings,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for issuer_exchange_filings"
golden_crdmo_backlog_conversion,603259.SH,source_class,issuer_investor_relations_records,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for issuer_investor_relations_records"
golden_crdmo_backlog_conversion,603259.SH,source_class,market_data_primary_or_licensed,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for market_data_primary_or_licensed"
golden_crdmo_backlog_conversion,603259.SH,source_class,peer_official_disclosures,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for peer_official_disclosures"
golden_gold_mining_cycle,600988.SH,source_class,industry_regulator_or_association,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for industry_regulator_or_association"
golden_gold_mining_cycle,600988.SH,source_class,issuer_exchange_filings,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for issuer_exchange_filings"
golden_gold_mining_cycle,600988.SH,source_class,issuer_investor_relations_records,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for issuer_investor_relations_records"
golden_gold_mining_cycle,600988.SH,source_class,market_data_primary_or_licensed,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for market_data_primary_or_licensed"
golden_gold_mining_cycle,600988.SH,source_class,peer_official_disclosures,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for peer_official_disclosures"
golden_multi_business_ai_infrastructure,600673.SH,source_class,industry_regulator_or_association,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for industry_regulator_or_association"
golden_multi_business_ai_infrastructure,600673.SH,source_class,issuer_exchange_filings,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for issuer_exchange_filings"
golden_multi_business_ai_infrastructure,600673.SH,source_class,issuer_investor_relations_records,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for issuer_investor_relations_records"
golden_multi_business_ai_infrastructure,600673.SH,source_class,market_data_primary_or_licensed,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for market_data_primary_or_licensed"
golden_multi_business_ai_infrastructure,600673.SH,source_class,peer_official_disclosures,evidence-ingest,T1_evidence_plan,"Archive, hash and review official evidence for peer_official_disclosures"
