variable,case_label,delta,output_metric,output_value,impact_vs_base,assumption_type,supporting_metric_ids,supporting_claim_ids,notes
room_cooling_revenue_growth,2026E_+5pct_points,+5pct_points,net_profit_attributable,38935035.13,38935035.13,forecast_sensitivity,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_room_cooling_revenue_growth,prior room revenue * 5pp * modeled room margin * after-tax-minority factor
consolidated_gross_margin,2026E_+1pct_point,+1pct_point,net_profit_attributable,64621764.13,64621764.13,forecast_sensitivity,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_gross_margin_consolidated,revenue * 1pp * after-tax-minority factor
opex_ratio,2026E_+1pct_point,+1pct_point,net_profit_attributable,-64621764.13,-64621764.13,forecast_sensitivity,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_opex_bridge,-revenue * 1pp * after-tax-minority factor
nwc_to_revenue,2026E_+1pct_point,+1pct_point,operating_cashflow,-74406176.31,-74406176.31,forecast_sensitivity,metric_cn_002837_invic_n_cashflow_act_20251231_890163,b9_base_case_cashflow_bridge,-revenue * 1pp increase in ending net working capital
room_cooling_revenue_growth,2027E_+5pct_points,+5pct_points,net_profit_attributable,51370286.35,51370286.35,forecast_sensitivity,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_room_cooling_revenue_growth,prior room revenue * 5pp * modeled room margin * after-tax-minority factor
consolidated_gross_margin,2027E_+1pct_point,+1pct_point,net_profit_attributable,76456705.81,76456705.81,forecast_sensitivity,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_gross_margin_consolidated,revenue * 1pp * after-tax-minority factor
opex_ratio,2027E_+1pct_point,+1pct_point,net_profit_attributable,-76456705.81,-76456705.81,forecast_sensitivity,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_opex_bridge,-revenue * 1pp * after-tax-minority factor
nwc_to_revenue,2027E_+1pct_point,+1pct_point,operating_cashflow,-88033052.17,-88033052.17,forecast_sensitivity,metric_cn_002837_invic_n_cashflow_act_20251231_890163,b9_base_case_cashflow_bridge,-revenue * 1pp increase in ending net working capital
room_cooling_revenue_growth,2028E_+5pct_points,+5pct_points,net_profit_attributable,64074848.21,64074848.21,forecast_sensitivity,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_room_cooling_revenue_growth,prior room revenue * 5pp * modeled room margin * after-tax-minority factor
consolidated_gross_margin,2028E_+1pct_point,+1pct_point,net_profit_attributable,87990986.84,87990986.84,forecast_sensitivity,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_gross_margin_consolidated,revenue * 1pp * after-tax-minority factor
opex_ratio,2028E_+1pct_point,+1pct_point,net_profit_attributable,-87990986.84,-87990986.84,forecast_sensitivity,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_opex_bridge,-revenue * 1pp * after-tax-minority factor
nwc_to_revenue,2028E_+1pct_point,+1pct_point,operating_cashflow,-101313744.21,-101313744.21,forecast_sensitivity,metric_cn_002837_invic_n_cashflow_act_20251231_890163,b9_base_case_cashflow_bridge,-revenue * 1pp increase in ending net working capital
2027E_PE_multiple,50x,-50x_vs_100x,implied_market_cap,34160737359.0,-34160737359.0,valuation_scenario,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_net_profit_bridge,2027E base attributable profit multiplied by an explicit research multiple.
2027E_PE_multiple,75x,-25x_vs_100x,implied_market_cap,51241106038.5,-17080368679.5,valuation_scenario,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_net_profit_bridge,2027E base attributable profit multiplied by an explicit research multiple.
2027E_PE_multiple,100x,+0x_vs_100x,implied_market_cap,68321474718.0,0.0,valuation_scenario,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_net_profit_bridge,2027E base attributable profit multiplied by an explicit research multiple.
2027E_PE_multiple,125x,+25x_vs_100x,implied_market_cap,85401843397.5,17080368679.5,valuation_scenario,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_net_profit_bridge,2027E base attributable profit multiplied by an explicit research multiple.
2027E_PE_multiple,150x,+50x_vs_100x,implied_market_cap,102482212077.0,34160737359.0,valuation_scenario,metric_cn_002837_invic_n_income_attr_p_20251231_002a58,b9_base_case_net_profit_bridge,2027E base attributable profit multiplied by an explicit research multiple.
