metric_name,original_metric_name,normalized_metric_name,period,structured_value,official_value,unit,source_structured_evidence_id,official_evidence_id,official_page_or_table_locator,difference,tolerance,reconciliation_status,notes
total_revenue,total_revenue,total_revenue,20251231,3520000000,6067759091.55,CNY,ev_structured_financial_data_002837_20260701_1b506c,ev_annual_report_002837_20260421_ce7f64,page:4; table:主要会计数据和财务指标,2547759091.55,0.01,mismatch,2025 annual-report summary line item. Structured data remains metric-only and is not promoted to reported fact by this file.
n_income_attr_p,n_income_attr_p,n_income_attr_p,20251231,450000000,521914773.00,CNY,ev_structured_financial_data_002837_20260701_1b506c,ev_annual_report_002837_20260421_ce7f64,page:4; table:主要会计数据和财务指标,71914773.00,0.01,mismatch,2025 annual-report summary line item. Structured data remains metric-only and is not promoted to reported fact by this file.
gross_margin,gross_margin,gross_margin,20251231,structured_missing,official_missing,,structured_missing,official_missing,official_missing,,0.0001,official_missing,No direct company-level gross margin was parsed from the current annual-report summary. Structured data remains metric-only and is not promoted to reported fact by this file.
net_margin,net_margin,net_margin,20251231,structured_missing,official_missing,,structured_missing,official_missing,official_missing,,0.0001,official_missing,Net margin is not directly disclosed in the parsed annual-report summary. Structured data remains metric-only and is not promoted to reported fact by this file.
basic_eps,basic_eps,basic_eps,20251231,0.62,0.54,CNY,ev_structured_financial_data_002837_20260701_1b506c,ev_annual_report_002837_20260421_ce7f64,page:4; table:主要会计数据和财务指标,-0.08,0.01,mismatch,2025 annual-report summary line item. Structured data remains metric-only and is not promoted to reported fact by this file.
operating_cash_flow,operating_cash_flow,operating_cash_flow,20251231,structured_missing,157273222.36,CNY,structured_missing,ev_annual_report_002837_20260421_ce7f64,page:4; table:主要会计数据和财务指标,,0.01,structured_missing,2025 annual-report summary line item. Structured data remains metric-only and is not promoted to reported fact by this file.
total_assets,total_assets,total_assets,20251231,structured_missing,7747255663.66,CNY,structured_missing,ev_annual_report_002837_20260421_ce7f64,page:3; table:主要会计数据和财务指标,,0.01,structured_missing,2025 year-end annual-report summary line item. Structured data remains metric-only and is not promoted to reported fact by this file.
total_liabilities,total_liabilities,total_liabilities,20251231,structured_missing,official_missing,,structured_missing,official_missing,official_missing,,0.0001,official_missing,Total liabilities were not parsed from the current annual-report summary. Structured data remains metric-only and is not promoted to reported fact by this file.
roe,roe,roe,20251231,structured_missing,16.58,%,structured_missing,ev_annual_report_002837_20260421_ce7f64,page:4; table:主要会计数据和财务指标,,0.01,structured_missing,Annual-report weighted average ROE; unit is percent. Structured data remains metric-only and is not promoted to reported fact by this file.
debt_to_asset,debt_to_asset,debt_to_asset,20251231,structured_missing,official_missing,,structured_missing,official_missing,official_missing,,0.0001,official_missing,Debt-to-asset ratio is not directly disclosed in the parsed annual-report summary. Structured data remains metric-only and is not promoted to reported fact by this file.
