case_id,issue_code,stage,skill,owner,reason
golden_copper_foil_product_generation,EVIDENCE_MISSING,T1_evidence_plan,evidence-ingest,workflow_orchestrator,no reviewed official evidence pack has been attached
golden_copper_foil_product_generation,DRIVER_UNQUALIFIED,T2_evidence_acquire_parse,evidence-ingest,workflow_orchestrator,"required operating drivers remain unqualified: capacity_utilization, customer_certification_conversion, hvlp_processing_fee, hvlp_product_mix, lithium_foil_margin, pcb_capacity, receivable_inventory_cash_conversion, unit_conversion_cost"
golden_copper_foil_product_generation,OVERLAP_UNRESOLVED,T5_analysis_pack_build,stock-deep-dive,workflow_orchestrator,segment and cross-cutting revenue/gross-profit overlap is unresolved
golden_copper_foil_product_generation,DRIVER_UNQUALIFIED,T2_evidence_acquire_parse,evidence-ingest,workflow_orchestrator,"driver-to-statement, working-capital, and cash-flow bridges are incomplete"
golden_copper_foil_product_generation,VALUATION_INELIGIBLE,T6_forecast_valuation_model,valuation-model,workflow_orchestrator,no valuation method has passed its independent eligibility gate
golden_copper_foil_product_generation,SEMANTIC_QUALITY_FAILED,T9_quality_review,quality-review,workflow_orchestrator,semantic quality candidate has not passed
golden_copper_foil_product_generation,SEMANTIC_QUALITY_FAILED,T9_quality_review,quality-review,workflow_orchestrator,deterministic rerun has not been demonstrated
golden_crdmo_backlog_conversion,EVIDENCE_MISSING,T1_evidence_plan,evidence-ingest,workflow_orchestrator,no reviewed official evidence pack has been attached
golden_crdmo_backlog_conversion,DRIVER_UNQUALIFIED,T2_evidence_acquire_parse,evidence-ingest,workflow_orchestrator,"required operating drivers remain unqualified: backlog_conversion_rate, backlog_definition, capacity_utilization, cash_conversion_and_capex, customer_geography_concentration, new_order_intake, pricing_and_productivity, project_stage_mix, qualified_capacity, regulatory_contract_transition, tides_product_mix"
golden_crdmo_backlog_conversion,OVERLAP_UNRESOLVED,T5_analysis_pack_build,stock-deep-dive,workflow_orchestrator,segment and cross-cutting revenue/gross-profit overlap is unresolved
golden_crdmo_backlog_conversion,DRIVER_UNQUALIFIED,T2_evidence_acquire_parse,evidence-ingest,workflow_orchestrator,"driver-to-statement, working-capital, and cash-flow bridges are incomplete"
golden_crdmo_backlog_conversion,VALUATION_INELIGIBLE,T6_forecast_valuation_model,valuation-model,workflow_orchestrator,no valuation method has passed its independent eligibility gate
golden_crdmo_backlog_conversion,SEMANTIC_QUALITY_FAILED,T9_quality_review,quality-review,workflow_orchestrator,semantic quality candidate has not passed
golden_crdmo_backlog_conversion,SEMANTIC_QUALITY_FAILED,T9_quality_review,quality-review,workflow_orchestrator,deterministic rerun has not been demonstrated
golden_gold_mining_cycle,EVIDENCE_MISSING,T1_evidence_plan,evidence-ingest,workflow_orchestrator,no reviewed official evidence pack has been attached
golden_gold_mining_cycle,DRIVER_UNQUALIFIED,T2_evidence_acquire_parse,evidence-ingest,workflow_orchestrator,"required operating drivers remain unqualified: byproduct_economics, fx_tax_ownership_bridge, mine_production_volume, ore_grade_or_feed_quality, realized_gold_price, recovery_rate, stripping_ratio, sustaining_and_growth_capex, unit_cash_cost"
golden_gold_mining_cycle,OVERLAP_UNRESOLVED,T5_analysis_pack_build,stock-deep-dive,workflow_orchestrator,segment and cross-cutting revenue/gross-profit overlap is unresolved
golden_gold_mining_cycle,DRIVER_UNQUALIFIED,T2_evidence_acquire_parse,evidence-ingest,workflow_orchestrator,"driver-to-statement, working-capital, and cash-flow bridges are incomplete"
golden_gold_mining_cycle,VALUATION_INELIGIBLE,T6_forecast_valuation_model,valuation-model,workflow_orchestrator,no valuation method has passed its independent eligibility gate
golden_gold_mining_cycle,SEMANTIC_QUALITY_FAILED,T9_quality_review,quality-review,workflow_orchestrator,semantic quality candidate has not passed
golden_gold_mining_cycle,SEMANTIC_QUALITY_FAILED,T9_quality_review,quality-review,workflow_orchestrator,deterministic rerun has not been demonstrated
golden_multi_business_ai_infrastructure,EVIDENCE_MISSING,T1_evidence_plan,evidence-ingest,workflow_orchestrator,no reviewed official evidence pack has been attached
golden_multi_business_ai_infrastructure,DRIVER_UNQUALIFIED,T2_evidence_acquire_parse,evidence-ingest,workflow_orchestrator,"required operating drivers remain unqualified: idc_commissioned_capacity, idc_power_cost, idc_unit_revenue, idc_utilization, incremental_financing_cost, liquid_cooling_acceptance, liquid_cooling_margin, liquid_cooling_projects_or_mw, liquid_cooling_unit_value, materials_capacity, materials_product_mix_and_fee, materials_utilization, ownership_and_minority_interest, refrigerant_quota, refrigerant_realized_price, refrigerant_unit_cost, refrigerant_volume, transaction_close_and_consolidation"
golden_multi_business_ai_infrastructure,OVERLAP_UNRESOLVED,T5_analysis_pack_build,stock-deep-dive,workflow_orchestrator,segment and cross-cutting revenue/gross-profit overlap is unresolved
golden_multi_business_ai_infrastructure,DRIVER_UNQUALIFIED,T2_evidence_acquire_parse,evidence-ingest,workflow_orchestrator,"driver-to-statement, working-capital, and cash-flow bridges are incomplete"
golden_multi_business_ai_infrastructure,VALUATION_INELIGIBLE,T6_forecast_valuation_model,valuation-model,workflow_orchestrator,no valuation method has passed its independent eligibility gate
golden_multi_business_ai_infrastructure,SEMANTIC_QUALITY_FAILED,T9_quality_review,quality-review,workflow_orchestrator,semantic quality candidate has not passed
golden_multi_business_ai_infrastructure,SEMANTIC_QUALITY_FAILED,T9_quality_review,quality-review,workflow_orchestrator,deterministic rerun has not been demonstrated
