title,publisher,publish_date,info_code,industry_name,rating,report_type
化工行业研究：苯胺、丙酮等涨幅居前，建议关注氦气、生物柴油、农化等方向,华鑫证券,2026-07-13,AP202607131826932618,化学制品,增持,3
AIDC&电网&人形机器人&工控2026年半年度策略报告：AI时代浪潮势不可挡，AI基建+具身智能+资本开支侧三端受益,东吴证券,2026-07-13,AP202607131826931339,其他电源设备Ⅱ,,3
农产品研究跟踪系列报告（213）：猪企2026H1业绩预计明显承压，牧业预计2026H1盈利拐点显现,国信证券,2026-07-13,AP202607131826930772,养殖业,增持,3
传媒行业跟踪报告：网易《遗忘之海》、电影《功夫女足》激活暑期档市场,万联证券,2026-07-13,AP202607131826930499,游戏Ⅱ,增持,3
医药生物行业周报（7月第2周）：基药目录重磅扩容,世纪证券,2026-07-13,AP202607131826929350,中药Ⅱ,,3
非银行业周报（2026年第二十四期）多家券商披露2026半年报预增，业绩估值双修复,中航证券,2026-07-13,AP202607131826929029,证券Ⅱ,增持,3
机械行业周报：关注AI设备相关投入，场景适配成为机器人迭代主线,华源证券,2026-07-13,AP202607131826928615,通用设备,增持,3
整车主线周报：6月乘用车产批零数据公布，广汽江淮公布业绩预告,东吴证券,2026-07-13,AP202607131826928115,汽车零部件,,3
2026年中期医药生物行业投资策略报告：估值筑底，创新破局,万联证券,2026-07-13,AP202607131826927396,化学制药,增持,3
电子行业周报：长鑫科技启动科创板IPO，加码DRAM国产替代,爱建证券,2026-07-13,AP202607131826927213,光学光电子,增持,3
建筑材料行业周报：关注传统建材中报披露，华新建材中报超预期,中邮证券,2026-07-13,AP202607131826926960,水泥,增持,3
医药生物行业报告：新版基药目录释放积极信号，中药品种扩容，荣昌生物、康诺亚等创新药企有望受益,中邮证券,2026-07-13,AP202607131826926915,中药Ⅱ,增持,3
2026年7月中国演出二级票务平台研究报告,艾瑞股份,2026-07-13,AP202607131826926483,影视院线,,3
电子行业跟踪报告：美光资本开支提速，MLCC龙头厂商订单出货比创新高,万联证券,2026-07-13,AP202607131826926358,半导体,增持,3
电力设备及新能源：顶层碳达峰五年方案落地，新能源赛道中长期成长空间明确,华金证券,2026-07-13,AP202607131826925902,光伏设备,持有,3
电力设备及新能源：锂电板块业绩亮眼，量利齐升趋势持续,华金证券,2026-07-13,AP202607131826925473,电池,持有,3
汽车行业销量点评：上半年汽车销量小幅下降,群益证券,2026-07-13,AP202607131826924435,汽车服务,,3
汽车行业周报：厂商竞逐规模扩张，高阶智驾快速成长,国元证券,2026-07-13,AP202607131826923170,汽车零部件,增持,3
非银行金融行业研究：多家券商26Q2业绩创历史新高，持续看好非银估值上行,国金证券,2026-07-13,AP202607131826923155,证券Ⅱ,买入,3
智能汽车主线周报：易控智驾港交所上市，看好智能化,东吴证券,2026-07-13,AP202607131826921704,汽车零部件,,3
煤炭行业周报：业绩预告陆续发布，电煤出现止跌迹象,山西证券,2026-07-13,AP202607131826921396,煤炭开采,增持,3
医药行业周报：新版基药目录落地，医药板块震荡上行,西南证券,2026-07-13,AP202607131826921326,生物制品,,3
