case_id,code,severity,owner_skill,target_stage,field,message,requested_evidence
golden_copper_foil_product_generation,DETERMINISM_ARTIFACT_MISSING,blocker,quality-review,T9_quality_review,artifact_bindings.determinism,hash-bound artifact not supplied,
golden_copper_foil_product_generation,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.capacity_utilization,no qualifying reviewed record is mapped to driver capacity_utilization,Find or classify reviewed evidence for operating driver capacity_utilization
golden_copper_foil_product_generation,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.customer_certification_conversion,no qualifying reviewed record is mapped to driver customer_certification_conversion,Find or classify reviewed evidence for operating driver customer_certification_conversion
golden_copper_foil_product_generation,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.hvlp_processing_fee,no qualifying reviewed record is mapped to driver hvlp_processing_fee,Find or classify reviewed evidence for operating driver hvlp_processing_fee
golden_copper_foil_product_generation,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.hvlp_product_mix,no qualifying reviewed record is mapped to driver hvlp_product_mix,Find or classify reviewed evidence for operating driver hvlp_product_mix
golden_copper_foil_product_generation,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.lithium_foil_margin,no qualifying reviewed record is mapped to driver lithium_foil_margin,Find or classify reviewed evidence for operating driver lithium_foil_margin
golden_copper_foil_product_generation,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.pcb_capacity,no qualifying reviewed record is mapped to driver pcb_capacity,Find or classify reviewed evidence for operating driver pcb_capacity
golden_copper_foil_product_generation,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.receivable_inventory_cash_conversion,no qualifying reviewed record is mapped to driver receivable_inventory_cash_conversion,Find or classify reviewed evidence for operating driver receivable_inventory_cash_conversion
golden_copper_foil_product_generation,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.unit_conversion_cost,no qualifying reviewed record is mapped to driver unit_conversion_cost,Find or classify reviewed evidence for operating driver unit_conversion_cost
golden_copper_foil_product_generation,FORECAST_ARTIFACT_MISSING,blocker,valuation-model,T6_forecast_valuation_model,artifact_bindings.forecast_bridge,hash-bound artifact not supplied,
golden_copper_foil_product_generation,OVERLAP_ARTIFACT_MISSING,blocker,stock-deep-dive,T5_analysis_pack_build,artifact_bindings.overlap_reconciliation,hash-bound artifact not supplied,
golden_copper_foil_product_generation,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CF-Q1,required question is not classified: CF-Q1,
golden_copper_foil_product_generation,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CF-Q2,required question is not classified: CF-Q2,
golden_copper_foil_product_generation,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CF-Q3,required question is not classified: CF-Q3,
golden_copper_foil_product_generation,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CF-Q4,required question is not classified: CF-Q4,
golden_copper_foil_product_generation,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CF-Q5,required question is not classified: CF-Q5,
golden_copper_foil_product_generation,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CF-Q6,required question is not classified: CF-Q6,
golden_copper_foil_product_generation,SEMANTIC_ARTIFACT_MISSING,blocker,quality-review,T9_quality_review,artifact_bindings.semantic_candidate,hash-bound artifact not supplied,
golden_copper_foil_product_generation,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: industry_regulator_or_association,Archive and review official evidence for source class industry_regulator_or_association
golden_copper_foil_product_generation,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: issuer_exchange_filings,Archive and review official evidence for source class issuer_exchange_filings
golden_copper_foil_product_generation,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: issuer_investor_relations_records,Archive and review official evidence for source class issuer_investor_relations_records
golden_copper_foil_product_generation,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: market_data_primary_or_licensed,Archive and review official evidence for source class market_data_primary_or_licensed
golden_copper_foil_product_generation,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: peer_official_disclosures,Archive and review official evidence for source class peer_official_disclosures
golden_copper_foil_product_generation,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[0].review_status,source is not reviewed,
golden_copper_foil_product_generation,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[1].review_status,source is not reviewed,
golden_copper_foil_product_generation,VALUATION_ARTIFACT_MISSING,blocker,valuation-model,T6_forecast_valuation_model,artifact_bindings.valuation,hash-bound artifact not supplied,
golden_copper_foil_product_generation,HUMAN_REVIEW_ARTIFACT_MISSING,info,quality-review,T9_quality_review,artifact_bindings.exact_hash_human_review,hash-bound artifact not supplied,
golden_crdmo_backlog_conversion,DETERMINISM_ARTIFACT_MISSING,blocker,quality-review,T9_quality_review,artifact_bindings.determinism,hash-bound artifact not supplied,
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.backlog_conversion_rate,no qualifying reviewed record is mapped to driver backlog_conversion_rate,Find or classify reviewed evidence for operating driver backlog_conversion_rate
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.backlog_definition,no qualifying reviewed record is mapped to driver backlog_definition,Find or classify reviewed evidence for operating driver backlog_definition
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.capacity_utilization,no qualifying reviewed record is mapped to driver capacity_utilization,Find or classify reviewed evidence for operating driver capacity_utilization
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.cash_conversion_and_capex,no qualifying reviewed record is mapped to driver cash_conversion_and_capex,Find or classify reviewed evidence for operating driver cash_conversion_and_capex
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.customer_geography_concentration,no qualifying reviewed record is mapped to driver customer_geography_concentration,Find or classify reviewed evidence for operating driver customer_geography_concentration
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.new_order_intake,no qualifying reviewed record is mapped to driver new_order_intake,Find or classify reviewed evidence for operating driver new_order_intake
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.pricing_and_productivity,no qualifying reviewed record is mapped to driver pricing_and_productivity,Find or classify reviewed evidence for operating driver pricing_and_productivity
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.project_stage_mix,no qualifying reviewed record is mapped to driver project_stage_mix,Find or classify reviewed evidence for operating driver project_stage_mix
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.qualified_capacity,no qualifying reviewed record is mapped to driver qualified_capacity,Find or classify reviewed evidence for operating driver qualified_capacity
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.regulatory_contract_transition,no qualifying reviewed record is mapped to driver regulatory_contract_transition,Find or classify reviewed evidence for operating driver regulatory_contract_transition
golden_crdmo_backlog_conversion,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.tides_product_mix,no qualifying reviewed record is mapped to driver tides_product_mix,Find or classify reviewed evidence for operating driver tides_product_mix
golden_crdmo_backlog_conversion,FORECAST_ARTIFACT_MISSING,blocker,valuation-model,T6_forecast_valuation_model,artifact_bindings.forecast_bridge,hash-bound artifact not supplied,
golden_crdmo_backlog_conversion,OVERLAP_ARTIFACT_MISSING,blocker,stock-deep-dive,T5_analysis_pack_build,artifact_bindings.overlap_reconciliation,hash-bound artifact not supplied,
golden_crdmo_backlog_conversion,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CR-Q1,required question is not classified: CR-Q1,
golden_crdmo_backlog_conversion,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CR-Q2,required question is not classified: CR-Q2,
golden_crdmo_backlog_conversion,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CR-Q3,required question is not classified: CR-Q3,
golden_crdmo_backlog_conversion,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CR-Q4,required question is not classified: CR-Q4,
golden_crdmo_backlog_conversion,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CR-Q5,required question is not classified: CR-Q5,
golden_crdmo_backlog_conversion,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CR-Q6,required question is not classified: CR-Q6,
golden_crdmo_backlog_conversion,QUESTION_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,research_questions.CR-Q7,required question is not classified: CR-Q7,
golden_crdmo_backlog_conversion,SEMANTIC_ARTIFACT_MISSING,blocker,quality-review,T9_quality_review,artifact_bindings.semantic_candidate,hash-bound artifact not supplied,
golden_crdmo_backlog_conversion,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: industry_regulator_or_association,Archive and review official evidence for source class industry_regulator_or_association
golden_crdmo_backlog_conversion,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: issuer_exchange_filings,Archive and review official evidence for source class issuer_exchange_filings
golden_crdmo_backlog_conversion,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: issuer_investor_relations_records,Archive and review official evidence for source class issuer_investor_relations_records
golden_crdmo_backlog_conversion,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: market_data_primary_or_licensed,Archive and review official evidence for source class market_data_primary_or_licensed
golden_crdmo_backlog_conversion,SOURCE_CLASS_MISSING,blocker,evidence-ingest,T1_evidence_plan,source_bindings,required source class is not bound: peer_official_disclosures,Archive and review official evidence for source class peer_official_disclosures
golden_crdmo_backlog_conversion,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[0].review_status,source is not reviewed,
golden_crdmo_backlog_conversion,SOURCE_UNQUALIFIED,blocker,evidence-ingest,T1_evidence_plan,source_bindings[1].review_status,source is not reviewed,
golden_crdmo_backlog_conversion,VALUATION_ARTIFACT_MISSING,blocker,valuation-model,T6_forecast_valuation_model,artifact_bindings.valuation,hash-bound artifact not supplied,
golden_crdmo_backlog_conversion,HUMAN_REVIEW_ARTIFACT_MISSING,info,quality-review,T9_quality_review,artifact_bindings.exact_hash_human_review,hash-bound artifact not supplied,
golden_gold_mining_cycle,DETERMINISM_ARTIFACT_MISSING,blocker,quality-review,T9_quality_review,artifact_bindings.determinism,hash-bound artifact not supplied,
golden_gold_mining_cycle,DRIVER_MAPPING_MISSING,blocker,evidence-ingest,T2_evidence_acquire_parse,drivers.byproduct_economics,no qualifying reviewed record is mapped to driver byproduct_economics,Find or classify reviewed evidence for operating driver byproduct_economics
