attach_pages,attach_size_kb,industry_code,industry_name,info_code,publish_date,publisher,rating,report_type,title
33,1409,538,化学制品,AP202607131826932618,2026-07-13,华鑫证券,增持,3,化工行业研究：苯胺、丙酮等涨幅居前，建议关注氦气、生物柴油、农化等方向
74,5584,1034,其他电源设备Ⅱ,AP202607131826931339,2026-07-13,东吴证券,,3,AIDC&电网&人形机器人&工控2026年半年度策略报告：AI时代浪潮势不可挡，AI基建+具身智能+资本开支侧三端受益
27,2233,1259,养殖业,AP202607131826930772,2026-07-13,国信证券,增持,3,农产品研究跟踪系列报告（213）：猪企2026H1业绩预计明显承压，牧业预计2026H1盈利拐点显现
6,706,1046,游戏Ⅱ,AP202607131826930499,2026-07-13,万联证券,增持,3,传媒行业跟踪报告：网易《遗忘之海》、电影《功夫女足》激活暑期档市场
8,552,1040,中药Ⅱ,AP202607131826929350,2026-07-13,世纪证券,,3,医药生物行业周报（7月第2周）：基药目录重磅扩容
10,2481,473,证券Ⅱ,AP202607131826929029,2026-07-13,中航证券,增持,3,非银行业周报（2026年第二十四期）多家券商披露2026半年报预增，业绩估值双修复
12,954,545,通用设备,AP202607131826928615,2026-07-13,华源证券,增持,3,机械行业周报：关注AI设备相关投入，场景适配成为机器人迭代主线
21,1724,481,汽车零部件,AP202607131826928115,2026-07-13,东吴证券,,3,整车主线周报：6月乘用车产批零数据公布，广汽江淮公布业绩预告
25,2909,465,化学制药,AP202607131826927396,2026-07-13,万联证券,增持,3,2026年中期医药生物行业投资策略报告：估值筑底，创新破局
8,872,1038,光学光电子,AP202607131826927213,2026-07-13,爱建证券,增持,3,电子行业周报：长鑫科技启动科创板IPO，加码DRAM国产替代
7,989,424,水泥,AP202607131826926960,2026-07-13,中邮证券,增持,3,建筑材料行业周报：关注传统建材中报披露，华新建材中报超预期
14,1118,1040,中药Ⅱ,AP202607131826926915,2026-07-13,中邮证券,增持,3,医药生物行业报告：新版基药目录释放积极信号，中药品种扩容，荣昌生物、康诺亚等创新药企有望受益
49,2603,1222,影视院线,AP202607131826926483,2026-07-13,艾瑞股份,,3,2026年7月中国演出二级票务平台研究报告
7,865,1036,半导体,AP202607131826926358,2026-07-13,万联证券,增持,3,电子行业跟踪报告：美光资本开支提速，MLCC龙头厂商订单出货比创新高
4,333,1031,光伏设备,AP202607131826925902,2026-07-13,华金证券,持有,3,电力设备及新能源：顶层碳达峰五年方案落地，新能源赛道中长期成长空间明确
5,411,1033,电池,AP202607131826925473,2026-07-13,华金证券,持有,3,电力设备及新能源：锂电板块业绩亮眼，量利齐升趋势持续
7,894,1016,汽车服务,AP202607131826924435,2026-07-13,群益证券,,3,汽车行业销量点评：上半年汽车销量小幅下降
12,1054,481,汽车零部件,AP202607131826923170,2026-07-13,国元证券,增持,3,汽车行业周报：厂商竞逐规模扩张，高阶智驾快速成长
10,1281,473,证券Ⅱ,AP202607131826923155,2026-07-13,国金证券,买入,3,非银行金融行业研究：多家券商26Q2业绩创历史新高，持续看好非银估值上行
17,1055,481,汽车零部件,AP202607131826921704,2026-07-13,东吴证券,,3,智能汽车主线周报：易控智驾港交所上市，看好智能化
14,1584,1250,煤炭开采,AP202607131826921396,2026-07-13,山西证券,增持,3,煤炭行业周报：业绩预告陆续发布，电煤出现止跌迹象
30,4579,1044,生物制品,AP202607131826921326,2026-07-13,西南证券,,3,医药行业周报：新版基药目录落地，医药板块震荡上行
