claim_id,evidence_id,entity_type,entity_id,claim_text,claim_type,quote_or_excerpt,page_no_or_section,confidence,valid_until,status,review_status,notes
claim_segment_ai_server_liquid_cooling_20260701_001,policy_miit_compute_infra_20231008_9f2a30,segment,ai_server_liquid_cooling,国家层面算力基础设施建设目标为数据中心热管理需求提供政策背景。,fact,算力基础设施建设目标,web,medium,政策修订或新行动计划发布,active,reviewed_p1,政策不直接证明液冷订单。
claim_segment_ai_server_liquid_cooling_20260701_002,industry_report_caict_cold_plate_liquid_cooling_20240523_4d8c91,segment,ai_server_liquid_cooling,冷板式液冷是算力中心高功率密度服务器散热的重要技术路径之一。,fact,冷板式液冷发展研究,report,medium,2027-05-23,active,reviewed_p1,需持续跟踪浸没式、风液混合等替代路线。
claim_segment_ai_server_liquid_cooling_20260701_003,industry_report_caict_cold_plate_liquid_cooling_20240523_4d8c91,segment,ai_server_liquid_cooling,本细分应覆盖冷板、CDU、管路、快接头、泵阀、冷量分配及系统集成等链条。,inference,产业链拆分来自报告主题和设备结构,report,medium,2027-05-23,active,reviewed_p1,作为P1定义卡口径，不等同上市公司业务归属。
claim_company_002837_invic_20260701_001,annual_report_002837_invic_2025_0f8fcf,company,cn_002837_invic,英维克披露数据中心热管理和液冷相关产品/解决方案，属于产品暴露候选。,fact,数据中心热管理、液冷相关产品,annual_summary,medium,2027-04-21,active,reviewed_p1,液冷收入占比未在本轮抽取。
claim_company_002837_invic_20260701_002,annual_report_002837_invic_2025_0f8fcf,company,cn_002837_invic,英维克的液冷暴露更接近产品/客户暴露，而非已核验的高纯度收入暴露。,inference,摘要未披露液冷收入占比,annual_summary,medium,2027-04-21,active,reviewed_p1,exposure_score不设为5。
claim_company_301018_shenling_20260701_001,annual_report_301018_shenling_2024_122331,company,cn_301018_shenling,申菱环境年报出现浸没式液冷、冷板式液冷等数据服务温控业务相关表述。,fact,浸没式液冷、冷板式液冷,annual_report,medium,2026-08-29,active,reviewed_p1,已用2025半年报交叉验证。
claim_company_301018_shenling_20260701_002,semiannual_report_301018_shenling_2025_122461,company,cn_301018_shenling,申菱环境2025半年报继续提供液冷业务线索，降低单一报告偶然性。,fact,液冷产品和研发方向,semiannual_report,medium,2027-08-29,active,reviewed_p1,仍需表格化收入核验。
claim_company_300499_gaolan_20260701_001,annual_report_300499_gaolan_2025_122516,company,cn_300499_gaolan,高澜股份存在数据中心液冷相关产品/解决方案线索，但本轮证据不足以确认高纯度收入暴露。,fact,数据中心液冷产品/解决方案,annual_summary,low,2027-04-24,active,reviewed_p1,需要完整年报、订单或客户证据。
claim_company_300731_cotran_20260701_001,annual_report_300731_cotran_2025_122523,company,cn_300731_cotran,科创新源披露液冷板及数据中心液冷需求相关内容，属于产品/技术暴露候选。,fact,液冷板、数据中心液冷需求,annual_report,medium,2027-04-29,active,reviewed_p1,需区分产品验证和财务兑现。
claim_company_300731_cotran_20260701_002,annual_report_300731_cotran_2025_122523,company,cn_300731_cotran,科创新源液冷业务在本轮不应被视为核心收入暴露，应先列为低到中置信度观察项。,inference,需要收入兑现验证,annual_report,medium,2027-04-29,active,reviewed_p1,作为概念映射降权样本。
claim_company_300602_frd_20260701_001,semiannual_report_300602_frd_2025_122450,company,cn_300602_frd,飞荣达具备热管理相关业务线索，但AI服务器液冷暴露需要进一步核验。,fact,数据中心和热管理相关表述,semiannual_report,low,2027-08-19,active,reviewed_p1,候选池低分记录。
claim_company_300602_frd_20260701_002,annual_report_300602_frd_2024_122310,company,cn_300602_frd,飞荣达热管理宽口径不能直接等同于AI服务器液冷收入。,inference,热管理宽口径需拆分,annual_summary,medium,2026-08-19,active,reviewed_p1,作为反证和降权依据。
claim_data_tushare_20260701_001,market_data_tushare_probe_20260701_8bbf20,other,p1_data_source,初始Tushare调用因未设置代理URL而被服务端返回token无效，该失败记录已被代理配置成功验证取代。,fact,default endpoint rejected token,local_probe,high,2026-07-01,superseded_lineage_note,reviewed_p1,失败根因是SDK默认地址，不是token格式本身。
claim_data_tushare_20260701_002,market_data_tushare_stock_basic_20260701_a6d9f2,other,p1_data_source,按配置指南设置Tushare代理URL后，stock_basic成功返回P1候选公司的代码、简称、地区、行业、上市板块和上市日期。,fact,stock_basic snapshot rows=5,local_probe,high,下次结构化数据刷新前,active,reviewed_p1,用于公司基础信息校验，不替代年报/公告证据。
claim_financial_cn_002837_invic_2025_001,market_data_tushare_income_selected_stocks_20260701_f1c8b2,company,cn_002837_invic,英维克2025年公司整体营业总收入为60.68 亿元，归母净利润为5.22 亿元。,fact,Tushare income total_revenue/n_income_attr_p,csv,medium,下一期财务数据刷新,active,reviewed_p1,公司整体财务数据，不代表液冷业务收入。
claim_financial_cn_002837_invic_2025_002,market_data_tushare_income_selected_stocks_20260701_f1c8b2,company,cn_002837_invic,英维克2025年营业总收入同比约32.23%，归母净利润同比约15.30%。,fact,2025 vs 2024 Tushare income snapshot,csv,medium,下一期财务数据刷新,active,reviewed_p1,同比由本地脚本基于Tushare快照计算。
