metric_candidate_id,claim_type,status,segment_id,metric_name,period,value,lower_bound,upper_bound,unit,source_evidence_id,source_path,locator,calculation_method,confidence,qualification_status,notes
metriccand_company_cn_002837_invic_total_revenue_2025A_12r,fact,confirmed,,total_revenue,2025A,6067.75909155,,,CNY_mn,ev_annual_report_002837_20260421_2cbfc5,data/processed/text/002837/cninfo_2025_annual_report_full_002837_2026-04-21.txt,line_135,direct_reported_value,0.99,qualified,
metriccand_company_cn_002837_invic_total_gross_profit_2025A_12r,estimate,confirmed,,total_gross_profit,2025A,1690.63331057,,,CNY_mn,ev_annual_report_002837_20260421_2cbfc5,data/processed/text/002837/cninfo_2025_annual_report_full_002837_2026-04-21.txt,lines_4114_4120,reported_revenue_minus_reported_cost,0.99,qualified,可复算派生值
metriccand_company_cn_002837_invic_room_cooling_revenue_2025A_12r,fact,confirmed,room_cooling,revenue,2025A,3448.47749262,,,CNY_mn,ev_annual_report_002837_20260421_2cbfc5,data/processed/text/002837/cninfo_2025_annual_report_full_002837_2026-04-21.txt,line_501,direct_reported_value,0.95,qualified,
metriccand_company_cn_002837_invic_room_cooling_gross_profit_2025A_12r,estimate,confirmed,room_cooling,gross_profit,2025A,977.82726653,,,CNY_mn,ev_annual_report_002837_20260421_2cbfc5,data/processed/text/002837/cninfo_2025_annual_report_full_002837_2026-04-21.txt,line_527,reported_revenue_minus_reported_cost,0.95,qualified,
metriccand_company_cn_002837_invic_room_cooling_revenue_share_2025A_12r,fact,confirmed,room_cooling,revenue_share,2025A,0.5683,,,ratio,ev_annual_report_002837_20260421_2cbfc5,data/processed/text/002837/cninfo_2025_annual_report_full_002837_2026-04-21.txt,line_501,direct_reported_value,0.95,qualified,
metriccand_company_cn_002837_invic_cabinet_cooling_revenue_2025A_12r,fact,confirmed,cabinet_cooling,revenue,2025A,1977.42313919,,,CNY_mn,ev_annual_report_002837_20260421_2cbfc5,data/processed/text/002837/cninfo_2025_annual_report_full_002837_2026-04-21.txt,line_502,direct_reported_value,0.95,qualified,
metriccand_company_cn_002837_invic_cabinet_cooling_gross_profit_2025A_12r,estimate,confirmed,cabinet_cooling,gross_profit,2025A,538.63952594,,,CNY_mn,ev_annual_report_002837_20260421_2cbfc5,data/processed/text/002837/cninfo_2025_annual_report_full_002837_2026-04-21.txt,line_528,reported_revenue_minus_reported_cost,0.95,qualified,
metriccand_company_cn_002837_invic_cabinet_cooling_revenue_share_2025A_12r,fact,confirmed,cabinet_cooling,revenue_share,2025A,0.3259,,,ratio,ev_annual_report_002837_20260421_2cbfc5,data/processed/text/002837/cninfo_2025_annual_report_full_002837_2026-04-21.txt,line_502,direct_reported_value,0.95,qualified,
metriccand_company_cn_002837_invic_liquid_cooling_related_revenue_2024A_12r,management_comment,bounded_estimate,data_center_liquid_cooling_related,revenue,2024A,,250,350,CNY_mn,ev_official_disclosure_002837_20250423_e78396,data/processed/text/ev_official_disclosure_002837_20250423_e78396.md,lines_82_89,issuer_approximate_value_with_conservative_disclosure_precision_band,0.55,qualified_bounded_estimate,不是经审计分部收入
metriccand_company_cn_002837_invic_liquid_cooling_cumulative_delivery_2025_03_12r,management_comment,bounded_estimate,data_center_liquid_cooling_related,cumulative_delivery,2025-03,,1200,1200,MW,ev_official_disclosure_002837_20250423_e78396,data/processed/text/ev_official_disclosure_002837_20250423_e78396.md,lines_82_86,direct_management_comment_and_unit_conversion,0.60,qualified_bounded_estimate,不等同项目数或2025A单期交付量
metriccand_company_cn_002837_invic_room_cooling_volume_proxy_2025A_12r,inference,missing,room_cooling,volume,2025A,,,,segment_units,ev_annual_report_002837_20260421_2cbfc5,data/processed/text/002837/cninfo_2025_annual_report_full_002837_2026-04-21.txt,line_541,not_calculated,0,not_qualified,公司级销量不得拆作分部销量
metriccand_company_cn_002837_invic_cabinet_cooling_volume_proxy_2025A_12r,inference,missing,cabinet_cooling,volume,2025A,,,,segment_units,ev_annual_report_002837_20260421_2cbfc5,data/processed/text/002837/cninfo_2025_annual_report_full_002837_2026-04-21.txt,line_541,not_calculated,0,not_qualified,公司级销量不得拆作分部销量
