issue_id,severity,gate_id,section,artifact,description,fix_owner_skill,blocking_decision,next_action,status
r5_q_001,low,R5-G1,evidence_snapshot,R5_stock_research_pack.yaml,Evidence snapshot gate represented with example evidence count and visible source gap,evidence-ingest,accepted_with_todos,Keep evidence manifest path explicit,accepted_todo
r5_q_002,medium,R5-G2,financial_history,R5_stock_research_pack.yaml,Financial history pack still needs reviewed structured financial metrics,stock-deep-dive,accepted_with_todos,Populate financial_metric_pack before sample-quality review,accepted_todo
r5_q_003,medium,R5-G3,business_breakdown,R5_stock_research_pack.yaml,Business breakdown keeps revenue and profit contribution gaps visible,stock-deep-dive,accepted_with_todos,Find official business-line disclosure or keep MISSING_DISCLOSURE,accepted_todo
r5_q_004,low,R5-G4,industry_context,R5_stock_research_pack.yaml,Industry context gate can reference segment cards without creating a full segment report,segment-research,accepted_with_todos,Attach reviewed segment context when available,accepted_todo
r5_q_005,medium,R5-G5,forecast,R5_stock_research_pack.yaml,Forecast model remains TODO_MODEL_INPUT and cannot support sample quality yet,stock-deep-dive,accepted_with_todos,Build explicit 2026E-2028E assumptions in a later bundle,accepted_todo
r5_q_006,medium,R5-G6,valuation,R5_stock_research_pack.yaml,Valuation pack lacks market snapshot and peer context,stock-deep-dive,accepted_with_todos,Add dated market and peer snapshots before R5 sample-quality gate,accepted_todo
r5_q_007,medium,R5-G7,technical_market,R5_stock_research_pack.yaml,Technical market pack requires as_of_date before market-state language,stock-deep-dive,accepted_with_todos,Keep market-state prose disabled until dated data exists,accepted_todo
r5_q_008,low,R5-G8,sentiment_event,R5_stock_research_pack.yaml,Sentiment and event fields are represented as placeholders with source gaps,stock-deep-dive,accepted_with_todos,Populate only from dated sources,accepted_todo
r5_q_009,low,R5-G9,narrative,R5_stock_research_note.md,Narrative coherence gate is represented but composer is not run in this bundle,memo-writer,accepted_with_todos,Do not generate report prose in Bundle 1,accepted_todo
r5_q_010,low,R5-G10,no_advice,R5_stock_research_note.md,No-advice gate is represented and no action language is introduced,quality-review,accepted,Keep review before any report composition,accepted_todo
r5_q_011,medium,R5-G11,sample_benchmark,R5_stock_research_pack.yaml,Sample benchmark gate is represented but source gaps keep the artifact below sample quality,quality-review,accepted_with_todos,Reassess after forecast valuation and business breakdown packs are populated,accepted_todo
